 	Tec 	Sem
	Ori 	Gene 	Ori 	Gene
1976 	0,42698 		0,329681 	
1977 	0,428364 		0,334477 	
1978 	0,425023 		0,334108 	
1979 	0,424596 		0,343265 	
1980 	0,428213 	0,437238 	0,336772 	0,340703
1981 	0,435923 	0,435998 	0,334525 	0,342042
1982 	0,432506 	0,434198 	0,34018 	0,337947
1983 	0,440437 	0,440041 	0,354122 	0,337337
1984 	0,451423 	0,440571 	0,356517 	0,33807
1985 	0,448358 	0,437486 	0,359774 	0,343403
1986 	0,445305 	0,442751 	0,360806 	0,348398
1987 	0,444212 	0,447238 	0,371511 	0,364252
1988 	0,442609 	0,448363 	0,376029 	0,36746
1989 	0,44296 	0,447841 	0,376523 	0,372666
1990 	0,445774 	0,443885 	0,37636 	0,374719
1991 	0,450938 	0,442759 	0,373831 	0,385827
1992 	0,455044 	0,443072 	0,367899 	0,385701
1993 	0,459996 	0,445209 	0,373557 	0,389776
1994 	0,462696 	0,448445 	0,370922 	0,392781
1995 	0,471436 	0,460804 	0,369541 	0,39677
1996 	0,472498 	0,457042 	0,380861 	0,393993
1997 	0,479378 	0,460605 	0,386758 	0,403462
1998 	0,482165 	0,467094 	0,379872 	0,392659
1999 	0,479626 	0,469403 	0,372161 	0,384352
2000 	0,447572 	0,472799 	0,372582 	0,396735
2001 	0,404444 	0,469771 	0,365675 	0,39509
2002 	0,367485 	0,461216 	0,359091 	0,386942
2003 	0,338853 	0,455361 	0,344521 	0,371846
2004 		0,449713 		0,369437
2005 		0,434042 		0,363133
2006 		0,420927 		0,361095
2007 		0,403248 		0,346749


